"","treat","Annualinc","Annualexp","redeff","age","distance","weights"
"12525",0,488400,355415,132985,45,0.0394887279686148,1
"12535",0,963600,739764,223836,49,0.0123916776556649,1
"12536",0,538800,401823,136977,24,0.166167022573722,1
"12569",1,823200,643926,179274,26,0.0921895823318564,1
"12570",0,417600,334926,82674,23,0.21425561772979,1
"12589",1,1396800,1099952,296848,41,0.0106551002278359,1
"12592",0,1285200,1008273,276927,30,0.0306616952038566,1
"12600",0,722400,560489,161911,46,0.0243045506535941,1
"12614",0,369600,279072,90528,26,0.188950778952814,1
"12619",0,878400,648868,229532,33,0.0492581535244711,1
"12630",0,896400,617425,278975,49,0.0136182152831313,1
"12642",1,1320000,994721,325279,42,0.0111259146473841,1
"12646",1,1143600,862640,280960,44,0.0131339779632752,1
"12651",0,739200,536355,202845,36,0.0500254656010646,1
"12653",0,700800,474734,226066,20,0.165918182294264,1
"12657",1,804000,606941,197059,27,0.0878538934752525,1
"12678",1,681600,473983,207617,37,0.0509633940485039,1
"12689",1,1010400,758191,252209,28,0.0571449521926439,1
"12692",0,796800,570676,226124,26,0.0945140175853926,1
"12693",1,1220400,916055,304345,47,0.00899898990118189,1
"12695",1,862800,624977,237823,43,0.0234170051323079,1
"12700",1,1035600,779893,255707,32,0.0404401278943482,1
"12701",0,361200,256249,104951,23,0.229775683484222,1
"12709",0,1341600,1027400,314200,44,0.00919753995826065,1
"12714",1,576000,453402,122598,29,0.112079964593948,1
"12733",0,367200,301107,66093,28,0.167740778456556,1
"12765",1,1346400,988549,357851,49,0.0060434692299064,1
"12774",1,1363200,1025902,337298,42,0.0102741066584922,1
"12788",0,548400,405704,142696,23,0.174695218951622,1
"12796",1,9e+05,698080,201920,39,0.0303658399214146,1
"12807",0,1374000,979936,394064,33,0.0199475781703801,1
"12816",1,1306800,991404,315396,49,0.00658532636308904,1
"12835",0,1053600,773935,279665,21,0.0883525463829293,1
"12836",1,951600,746164,205436,45,0.0174282444943314,1
"12838",0,378000,281911,96089,23,0.225227378276,1
"12843",1,1322400,912514,409886,32,0.0234079746889316,1
"12853",0,531600,404939,126661,46,0.0340905990176882,1
"12871",0,595200,443227,151973,22,0.173792306349349,1
"12873",0,676800,525114,151686,51,0.0178856568634859,1
"12874",1,700800,454755,246045,43,0.030767220372562,1
"12884",1,1405200,1115413,289787,43,0.00899743726067619,1
"12888",0,482400,361192,121208,31,0.112645128595585,1
"12890",1,997200,764108,233092,36,0.032044023090909,1
"12894",1,637200,521446,115754,48,0.0245165972248753,1
"12899",1,1392000,1078706,313294,40,0.0115466427855268,1
"12903",1,675600,535329,140271,26,0.117851471174159,1
"12904",0,1213200,834676,378524,36,0.0209414877101762,1
"12925",0,561600,397991,163609,22,0.181713433353844,1
"12933",0,744000,544378,199622,22,0.137192257865855,1
"12950",1,752400,590393,162007,37,0.0460846473387994,1
"12956",0,634800,453577,181223,33,0.0748838789247781,1
"12961",0,410400,294783,115617,59,0.0153672127018819,1
"12965",1,1356000,1051373,304627,48,0.00656938107500263,1
"12968",1,1381200,1024955,356245,41,0.0106921623454763,1
"12979",0,1269600,885480,384120,22,0.0555294921466497,1
"12980",0,519600,353919,165681,26,0.14807250330143,1
"12995",0,535200,384044,151156,22,0.189458638394949,1
"12999",0,430800,296407,134393,57,0.0172182251324499,1
"13006",0,658800,536531,122269,21,0.170928461556434,1
"13010",0,585600,458590,127010,23,0.166367061115641,1
"13011",0,674400,491272,183128,45,0.0282651829866225,1
"13014",0,376800,272055,104745,23,0.224988537036206,1
"13016",1,1156800,895294,261506,34,0.0281892665814749,1
"13023",1,918000,688451,229549,30,0.0578001250600135,1
"13041",0,621600,484227,137373,22,0.168067604605129,1
"13059",0,872400,668587,203813,36,0.0400147116582855,1
"13068",0,414000,329354,84646,23,0.215185806285461,1
"13081",0,428400,329456,98944,26,0.173182063999359,1
"13088",1,920400,736721,183679,33,0.0467365376243659,1
"13095",1,1164000,882014,281986,36,0.0236620471431091,1
"13096",0,442800,328392,114408,21,0.231928245588457,1
"13106",0,430800,355171,75629,20,0.253234978747547,1
"13111",0,601200,447937,153263,22,0.172214220847961,1
"13115",1,588000,469978,118022,49,0.0246568907007904,1
"13121",0,446400,313202,133198,26,0.166794545348454,1
"13132",0,477600,376485,101115,24,0.183707535569308,1
"13141",0,360000,260179,99821,25,0.203541422914212,1
"13148",0,446400,331870,114530,26,0.167837693287772,1
"13169",0,422400,312924,109476,26,0.17408435364309,1
"13181",0,603600,396840,206760,60,0.00980958395844454,1
"13188",0,655200,486470,168730,60,0.00910583235154058,1
"13211",1,800400,507930,292470,26,0.0917342443982032,1
"13217",0,440400,317062,123338,23,0.204936936968693,1
"13219",1,592800,478944,113856,47,0.0285929698414627,1
"13220",0,367200,239305,127895,27,0.175510140413821,1
"13227",0,370800,295271,75529,20,0.273633176632282,1
"13231",0,832800,666807,165993,27,0.0848560153880998,1
"13239",1,379200,268195,111005,36,0.093103863735332,1
"13247",1,1395600,1101761,293839,49,0.00569053313034368,1
"13253",0,369600,262910,106690,56,0.0209051003828228,1
"13254",1,1208400,911535,296865,31,0.032093599383114,1
"13255",1,1147200,877555,269645,44,0.0131110645591324,1
"13264",0,1158000,910001,247999,47,0.0102550909107247,1
"13270",0,405600,294463,111137,39,0.0716941776010842,1
"13285",0,758400,561183,197217,20,0.153919231819934,1
"13295",0,549600,415110,134490,25,0.153110732409878,1
"13316",0,525600,418193,107407,20,0.220926172116673,1
"13320",0,837600,625425,212175,54,0.0104563114488869,1
"13347",0,451200,357764,93436,21,0.230806779125541,1
"13354",0,1083600,781427,302173,50,0.00901887339339851,1
"13364",1,634800,452924,181876,27,0.115313346049215,1
"13373",0,844800,589984,254816,38,0.0352754095431103,1
"13375",0,874800,681614,193186,45,0.0199845899030813,1
"13382",1,1269600,905441,364159,26,0.0413489932284378,1
"13385",0,582000,430313,151687,21,0.18903401599827,1
"13391",0,799200,628169,171031,53,0.0122874679735483,1
"13398",0,502800,323805,178995,20,0.222866031304696,1
"13405",1,1082400,829795,252605,28,0.0507080637751084,1
"13415",1,1044000,773415,270585,43,0.0169362489006513,1
"13416",0,460800,339627,121173,23,0.199313008391184,1
"13418",1,1256400,865525,390875,44,0.0103429519200011,1
"13420",0,586800,422899,163901,20,0.199381528183458,1
"13428",1,978000,704197,273803,43,0.018949062870346,1
"13437",0,1341600,1068826,272774,20,0.0597309800542753,1
"13449",0,436800,353345,83455,26,0.171967573584345,1
"13462",0,362400,270974,91426,26,0.190835991375323,1
"13463",0,1063200,851451,211749,35,0.0311978724459189,1
"13471",1,1365600,979400,386200,43,0.00927546689171388,1
"13473",0,1315200,963303,351897,22,0.052119865570136,1
"13475",0,361200,252554,108646,22,0.243862897190754,1
"13481",0,471600,345026,126574,24,0.183752750784432,1
"13505",1,716400,569114,147286,37,0.0492137968129767,1
"13531",0,1245600,1005430,240170,27,0.0418407679340452,1
"13532",0,1113600,809364,304236,25,0.0591518443258499,1
"13538",0,574800,439822,134978,33,0.0839148478607365,1
"13542",0,476400,386249,90151,24,0.184684268645149,1
"13556",0,645600,492635,152965,58,0.0109039964056964,1
"13565",0,800400,593702,206698,22,0.125596778747161,1
"13566",0,1074000,828618,245382,46,0.0128433398854344,1
"13573",0,555600,429804,125796,34,0.0807331308498212,1
"13582",1,650400,495071,155329,37,0.0547484205966598,1
"13588",0,714000,549699,164301,49,0.0195112692359629,1
"13615",0,1365600,958980,406620,27,0.032041587194762,1
"13617",0,583200,455331,127869,45,0.0337156025826448,1
"13618",0,1239600,934269,305331,50,0.00686814031567336,1
"13647",1,990000,783008,206992,43,0.0190566514450291,1
"13654",1,926400,663924,262476,41,0.0242916469645674,1
"13675",1,1010400,782003,228397,38,0.0269039950347996,1
"13684",1,784800,638578,146222,42,0.0299519693109626,1
"13698",1,730800,567958,162842,38,0.0442759177563813,1
"13704",0,973200,696648,276552,40,0.0240980474357767,1
"13708",0,441600,314798,126802,23,0.204368567094494,1
"13715",1,1234800,1021383,213417,38,0.0184264336424498,1
"13725",0,1294800,949274,345526,27,0.0369833718249605,1
"13727",1,596400,473643,122757,45,0.0330356334973617,1
"13746",0,590400,411051,179349,21,0.185108709797931,1
"13760",0,1186800,942251,244549,55,0.00519784744424066,1
"13762",1,444000,330892,113108,38,0.0724547662354762,1
"13764",0,456000,356370,99630,20,0.243200535036847,1
"13769",0,1101600,860030,241570,22,0.0771166515905995,1
"13789",0,1359600,1097540,262060,33,0.0215346124065894,1
"13791",0,590400,450727,139673,53,0.0178385031254654,1
"13818",0,583200,470956,112244,21,0.191145854275429,1
"13826",0,1137600,837964,299636,44,0.0131732054402182,1
"13827",1,957600,778373,179227,34,0.0407693402590226,1
"13832",0,552000,398362,153638,23,0.17315844040858,1
"13836",0,1260000,952308,307692,25,0.0463282604018045,1
"13837",1,957600,745411,212189,26,0.0733813656378386,1
"13848",1,542400,387148,155252,25,0.153667560039347,1
"13852",0,1230000,1009845,220155,32,0.0295120327564665,1
"13854",0,751200,537393,213807,39,0.0388786315482708,1
"13860",1,501600,367710,133890,27,0.143692423572582,1
"13869",0,1206000,926908,279092,41,0.0149264379288449,1
"13873",1,583200,424446,158754,44,0.0359698615132439,1
"13878",0,1119600,819497,300103,53,0.00669316687359688,1
"13881",1,1117200,855308,261892,39,0.0204680448163722,1
"13887",1,866400,653527,212873,49,0.0147223017647517,1
"13904",0,405600,284984,120616,24,0.202119770599434,1
"13911",0,402000,311094,90906,21,0.246653027725574,1
"13921",0,799200,612673,186527,41,0.0310774388419678,1
"13933",0,446400,338456,107944,25,0.179616942639872,1
"13940",0,418800,290774,128026,23,0.210859214120215,1
"13968",0,363600,266811,96789,28,0.166904267573014,1
"13980",1,813600,609959,203641,35,0.0476461560374383,1
"13984",0,391200,293962,97238,49,0.0347373810480809,1
"13986",0,963600,738279,225321,34,0.0396502144736447,1
"14013",1,428400,345263,83137,44,0.0480217669981978,1
"14021",1,1038000,727238,310762,31,0.0425540201073256,1
"14044",0,361200,254780,106420,26,0.190232751084101,1
"14047",0,450000,361046,88954,20,0.245933861843855,1
"14049",0,1202400,829001,373399,25,0.049736498652255,1
"14050",1,576000,400848,175152,25,0.145173036090584,1
"14056",0,397200,269234,127966,20,0.260464912446354,1
"14061",1,692400,500726,191674,44,0.0295128072863792,1
"14070",0,775200,532822,242378,34,0.0539648378206758,1
"14076",0,592800,468138,124662,54,0.0165281398377203,1
"14079",0,709200,540483,168717,49,0.0196386812646263,1
"14091",0,420000,303425,116575,30,0.133152301563683,1
"14095",1,957600,723824,233776,35,0.036986179005853,1
"14100",1,547200,450609,96591,39,0.0571507039228019,1
"14129",1,476400,346783,129617,42,0.0506545669321705,1
"14141",1,1203600,842550,361050,35,0.0231670004126338,1
"14145",0,829200,663303,165897,30,0.0684905493191053,1
"14147",0,1038000,806668,231332,35,0.0323138475930929,1
"14149",0,759600,597045,162555,47,0.0210956524132527,1
"14153",0,823200,601208,221992,23,0.112446556208927,1
"14163",0,490800,383266,107534,25,0.168461042775921,1
"14164",0,589200,466963,122237,20,0.201385281375757,1
"14168",1,548400,386151,162249,36,0.0695695534310845,1
"14172",0,494400,382647,111753,21,0.216395183123852,1
"14181",0,1116000,868514,247486,31,0.0382437860839627,1
"14194",0,586800,425562,161238,20,0.199552078476963,1
"14206",1,1378800,1131474,247326,44,0.00885450163751604,1
"14232",0,529200,357140,172060,21,0.202303439228997,1
"14247",1,1158000,944881,213119,49,0.00888407901418178,1
"14249",1,1095600,914735,180865,27,0.0549641384186644,1
"14258",0,602400,458883,143517,22,0.172471888856121,1
"14264",0,370800,287732,83068,21,0.257551432945386,1
"14281",0,1102800,835141,267659,46,0.0121116883740465,1
"14307",0,1082400,759243,323157,22,0.0771819647645528,1
"14312",0,402000,300217,101783,20,0.260867968207007,1
"14324",1,1005600,658246,347354,37,0.0279751298232142,1
"14348",0,1395600,1070744,324856,43,0.00902203240635159,1
"14354",0,1009200,740516,268684,34,0.0361071591664245,1
"14356",0,452400,347122,105278,22,0.215843145531152,1
"14362",1,588000,426033,161967,32,0.0874787462243876,1
"14365",1,1172400,847340,325060,26,0.0493835550139706,1
"14367",0,1410000,1067645,342355,44,0.00807627794820363,1
"14368",0,812400,560275,252125,59,0.00725252301665109,1
"14370",0,673200,517205,155995,21,0.165505961111575,1
"14388",1,980400,709164,271236,50,0.0109203023216308,1
"14391",0,804000,618100,185900,45,0.0226289574984043,1
"14397",1,748800,572052,176748,26,0.103788695297968,1
"14417",0,1302000,1016751,285249,24,0.0469891137632728,1
"14420",0,506400,363547,142853,22,0.197857209876667,1
"14426",1,1434000,1093104,340896,33,0.0183735338502721,1
"14429",0,625200,461088,164112,24,0.144883925158258,1
"14437",0,396000,295376,100624,47,0.0400995460203489,1
"14439",1,480000,358392,121608,46,0.037268954157688,1
"14440",1,1432800,1060669,372131,44,0.0076710168077861,1
"14446",0,1365600,1041288,324312,26,0.0357190460769675,1
"14449",0,415200,328066,87134,20,0.257555204577653,1
"14463",0,439200,314022,125178,60,0.0134694326301322,1
"14468",0,686400,514860,171540,24,0.131757038203537,1
"14470",1,1248000,974800,273200,44,0.0109963089461401,1
"14485",1,1032000,797965,234035,47,0.0128268114953416,1
"14490",0,718800,495244,223556,51,0.016172752648917,1
"14492",0,444000,344841,99159,24,0.192822633289047,1
"14500",0,457200,366396,90804,48,0.0336277302153438,1
"14507",0,739200,596937,142263,33,0.0640874403155773,1
"14512",0,770400,512094,258306,23,0.120463876842658,1
"14517",0,501600,398390,103210,25,0.166066961377106,1
"14523",0,1142400,833740,308660,43,0.0140789516754147,1
"14537",0,604800,476859,127941,35,0.0692070122070865,1
"14538",0,444000,329373,114627,26,0.168420374953216,1
"14568",0,476400,394854,81546,23,0.197493745555188,1
"14572",0,1270800,1012483,258317,26,0.0429783136759902,1
"14574",0,519600,405982,113618,47,0.0323819705611816,1
"14583",0,385200,275276,109924,21,0.250727547154714,1
"14610",0,775200,564475,210725,35,0.0506568741987469,1
"14619",1,1155600,903115,252485,41,0.0164538510391116,1
"14620",0,672000,564956,107044,20,0.179956993700897,1
"14625",0,361200,246571,114629,20,0.273859403053332,1
"14641",0,447600,337385,110215,24,0.191156256410661,1
"14645",0,920400,653098,267302,25,0.0821599618382653,1
"14654",0,651600,518601,132999,21,0.172109526368545,1
"14667",0,861600,638672,222928,27,0.079334661235727,1
"14672",0,1216800,966016,250784,33,0.0276093909379692,1
"14675",1,895200,720554,174646,48,0.0153791385405593,1
"14676",0,610800,475207,135593,21,0.182380100001827,1
"14677",0,388800,277991,110809,23,0.220924714287885,1
"14694",0,1414800,1101406,313394,24,0.038470426769627,1
"14700",1,586800,500076,86724,49,0.0250118066353768,1
"14701",0,1040400,749847,290553,43,0.0169079479093776,1
"14702",0,1040400,780751,259649,21,0.0908944215564112,1
"14730",0,566400,390836,175564,23,0.16834106054269,1
"14786",0,567600,417024,150576,20,0.205677586518316,1
"14788",0,471600,359184,112416,21,0.223199666200552,1
"14805",1,914400,661002,253398,47,0.0155959191383349,1
"14806",0,409200,309247,99953,21,0.243647138673814,1
"14808",1,816000,620875,195125,31,0.0642750925809354,1
"14809",0,385200,279939,105261,21,0.251079059817076,1
"14813",0,427200,306931,120269,22,0.222368505846986,1
"14831",1,1368000,1009412,358588,47,0.00681379600352975,1
"14841",0,1236000,970494,265506,29,0.0361460597286412,1
"14842",0,657600,459998,197602,21,0.166981420280827,1
"14844",1,1114800,842103,272697,48,0.0101173773030603,1
"14854",0,955200,689982,265218,30,0.0536205758332871,1
"14856",0,450000,314939,135061,22,0.214535937176174,1
"14859",1,1191600,767867,423733,47,0.00902199414016435,1
"14877",1,847200,632655,214545,50,0.0140631546757355,1
"14882",0,682800,532157,150643,34,0.0650546718884053,1
"14884",1,619200,476681,142519,50,0.0214223083891173,1
"14889",0,362400,262941,99459,21,0.259111698414477,1
"14892",0,1309200,905849,403351,41,0.0118883502562688,1
"14916",0,1390800,1142712,248088,37,0.0150211601911944,1
"14924",0,651600,451668,199932,20,0.179733863653526,1
"14929",0,440400,318004,122396,24,0.192354218997764,1
"14942",0,370800,285517,85283,22,0.242491839874566,1
"14950",0,1203600,889955,313645,37,0.0202040546804831,1
"14959",1,6e+05,429819,170181,35,0.0686594471511952,1
"14975",1,572400,405675,166725,43,0.0394197034945779,1
"14988",0,502800,362034,140766,24,0.174872062731273,1
"14995",1,985200,775065,210135,26,0.0702140373380213,1
"14996",0,478800,371357,107443,24,0.183012663432564,1
"15006",0,468000,342383,125617,24,0.184758501250639,1
"15015",1,1430400,1114566,315834,50,0.00490548845577267,1
"15017",1,964800,725782,239018,31,0.0494317872370492,1
"15030",0,759600,626076,133524,24,0.119358596353344,1
"15042",1,760800,595605,165195,31,0.0711320118133089,1
"15046",0,1167600,880940,286660,26,0.0505134546061647,1
"15049",1,612000,496622,115378,32,0.0856315396188297,1
"15056",0,376800,283487,93313,23,0.22578905171831,1
"15076",1,424800,346853,77947,30,0.133971950789448,1
"15090",0,487200,343658,143542,23,0.19064558633992,1
"15104",0,382800,277128,105672,25,0.196770854828856,1
"15106",1,466800,375974,90826,35,0.0876830389394796,1
"15113",0,1356000,1099234,256766,30,0.0273964814881304,1
"15118",0,508800,398820,109980,22,0.199286239509525,1
"15121",1,1345200,1038665,306535,32,0.023442385471259,1
"15131",0,891600,675345,216255,52,0.0111246986978065,1
"15132",0,1108800,799749,309051,23,0.069054304963977,1
"15137",0,514800,384541,130259,22,0.196327533923232,1
"15148",0,780000,618620,161380,52,0.0137909333127601,1
"15177",0,373200,279718,93482,20,0.271372077706224,1
"15183",1,1423200,1055849,367351,39,0.011582043589383,1
"15189",0,492000,332436,159564,25,0.165267718953337,1
"15196",1,1183200,897691,285509,40,0.016745070534771,1
"15201",0,476400,369720,106680,51,0.0256672493569968,1
"15207",1,618000,502692,115308,37,0.0586414143117307,1
"15212",0,411600,346047,65553,42,0.0577845496473613,1
"15229",1,848400,658663,189737,42,0.0264257032274083,1
"15230",0,835200,623567,211633,23,0.110773827955039,1
"15231",0,993600,696525,297075,51,0.00976549849617287,1
"15233",0,1075200,816596,258604,33,0.0350047000112727,1
"15238",1,399600,315882,83718,33,0.112767420522264,1
"15241",0,1411200,1087014,324186,26,0.0330685855490194,1
"15246",0,423600,344068,79532,23,0.212702093517478,1
"15248",0,619200,480026,139174,20,0.192008051609677,1
"15252",0,1028400,792168,236232,29,0.0517646665051241,1
"15253",1,1174800,841005,333795,27,0.0454492122945744,1
"15266",1,936000,726141,209859,28,0.0656214150230748,1
"15278",0,384000,276231,107769,21,0.251285320660502,1
"15303",0,369600,280226,89374,24,0.214587420581986,1
"15313",0,482400,346142,136258,20,0.232159367693695,1
"15316",0,496800,357240,139560,22,0.200752136192576,1
"15326",1,936000,640414,295586,42,0.021826231754152,1
"15327",0,1166400,900627,265773,48,0.00927639016463729,1
"15341",0,429600,311483,118117,26,0.1717843696572,1
"15345",0,486000,343085,142915,25,0.16765284350869,1
"15385",0,729600,531571,198029,56,0.0108355820659024,1
"15391",1,967200,691110,276090,50,0.0111514638118724,1
"15396",0,411600,339089,72511,20,0.259889707161097,1
"15404",0,627600,461376,166224,52,0.0179019766358826,1
"15407",0,496800,361524,135276,25,0.16545146835411,1
"15420",0,1029600,737064,292536,24,0.0734160984169775,1
"15422",0,657600,515438,142162,39,0.0467561889243625,1
"15426",0,1324800,1003032,321768,25,0.0413382938039839,1
"15436",0,710400,584022,126378,27,0.104538869772031,1
"15437",1,939600,720154,219446,27,0.0700000474018636,1
"15439",0,364800,288485,76315,28,0.167755464428812,1
"15476",0,586800,422103,164697,45,0.0330355964040232,1
"15489",1,1429200,1184716,244484,25,0.0357199988427912,1
"15493",1,1260000,870948,389052,40,0.0140795158065117,1
"15509",0,408000,309917,98083,20,0.259130874035518,1
"15510",0,1371600,992157,379443,47,0.0067152196734879,1
"15513",1,1190400,803444,386956,31,0.0319511392163662,1
"15515",0,783600,581145,202455,55,0.0106554619391946,1
"15526",0,402000,299648,102352,35,0.0967957308182826,1
"15534",0,517200,338237,178963,20,0.218529001146016,1
"15538",0,988800,653549,335251,22,0.0893074465417081,1
"15549",0,418800,328228,90572,21,0.241248901668958,1
"15580",0,1334400,976150,358250,42,0.0107106931778199,1
"15582",0,427200,330085,97115,22,0.223978493479405,1
"15589",1,1383600,1115044,268556,43,0.00942036278008772,1
"15602",0,774000,595998,178002,25,0.107069432192823,1
"15610",1,489600,326037,163563,47,0.0334169294388457,1
"15611",0,664800,502841,161959,21,0.16721531962442,1
"15615",1,406800,336889,69911,28,0.158072703682151,1
"15628",0,782400,588577,193823,40,0.0344313438359254,1
"15633",0,554400,420090,134310,21,0.197661972796413,1
"15635",0,428400,313554,114846,25,0.183895407187722,1
"15637",0,894000,708106,185894,41,0.0264537438154199,1
"15640",0,824400,606236,218164,50,0.0146070281164281,1
"15646",0,520800,408386,112414,20,0.222030015298099,1
"15647",0,556800,456511,100289,22,0.186794430964759,1
"15650",1,526800,385353,141447,35,0.0781546441873795,1
"15653",0,1222800,878642,344158,32,0.0284672414035616,1
"15668",1,1066800,838482,228318,34,0.0332713929834725,1
"15681",1,474000,359859,114141,41,0.0551542708219063,1
"15683",1,775200,589425,185775,34,0.0551356580482012,1
"15685",0,476400,344856,131544,23,0.194334781217365,1
"15691",0,450000,338514,111486,21,0.229896046492944,1
"15693",1,739200,529331,209869,35,0.0537951140799841,1
"15696",0,441600,317214,124386,21,0.23159005259537,1
"15700",0,369600,282254,87346,20,0.273109355135419,1
"15712",1,1256400,975906,280494,31,0.029770535961213,1
"15713",0,375600,235180,140420,22,0.236928977082463,1
"15727",1,1400400,986698,413702,27,0.0301204381616321,1
"15760",0,632400,513414,118986,20,0.189686964223797,1
"15763",0,484800,357829,126971,25,0.168841959356116,1
"15768",1,1158000,832370,325630,46,0.0107571888319889,1
"15771",1,837600,595209,242391,44,0.0225829063030522,1
"15775",0,495600,362652,132948,25,0.165871129160365,1
"15779",1,1261200,911877,349323,31,0.0287476734346276,1
"15780",1,890400,601623,288777,30,0.0591546401532488,1
"15781",0,624000,487740,136260,20,0.190887130252745,1
"15822",0,535200,364249,170951,24,0.165155445578433,1
"15833",1,1048800,762470,286330,30,0.0455130555843931,1
"15879",0,572400,454742,117658,38,0.0586143412569094,1
"15889",0,1245600,925508,320092,24,0.0509379068001497,1
"15901",1,710400,561643,148757,44,0.0291052781139484,1
"15907",0,408000,327228,80772,21,0.245456840614057,1
"15913",0,1264800,949434,315366,43,0.0113621333841992,1
"15916",0,1366800,975258,391542,20,0.0547794270840584,1
"15921",0,1221600,905441,316159,21,0.0664274727646844,1
"15928",0,884400,583746,300654,37,0.0349932238844517,1
"15939",0,433200,328093,105107,26,0.171629416968538,1
"15942",0,1123200,856248,266952,21,0.0793825901440093,1
"15963",0,597600,456580,141020,22,0.173819302059851,1
"15967",0,364800,268852,95948,35,0.102882502361584,1
"15969",0,566400,428700,137700,22,0.182008258113446,1
"15971",1,786000,615495,170505,32,0.0632598261838926,1
"15985",0,373200,292219,80981,27,0.176714976388408,1
"15989",1,1226400,912361,314039,43,0.0121496712351603,1
"15991",0,656400,465882,190518,36,0.0576555093214451,1
"15993",1,1002000,744006,257994,28,0.0578165945119939,1
"15995",0,992400,737632,254768,53,0.00850210920290199,1
"16003",0,774000,560077,213923,25,0.105699800271982,1
"16026",1,826800,621857,204943,37,0.0400146648321607,1
"16032",1,925200,667813,257387,46,0.0165268167039479,1
"16040",0,1437600,1013348,424252,27,0.0281575707655755,1
"16044",0,387600,289357,98243,20,0.266039169330501,1
"16047",0,410400,308575,101825,20,0.258036953947335,1
"16055",0,626400,435383,191017,52,0.0177646318507022,1
"16057",0,1000800,710748,290052,43,0.0181043125004998,1
"16059",0,380400,300852,79548,22,0.23983465840338,1
"16061",1,631200,469576,161624,38,0.0523005367004036,1
"16065",0,378000,278382,99618,26,0.186152671332224,1
"16068",0,372000,291102,80898,26,0.188898276538292,1
"16071",0,465600,310465,155135,20,0.236079687956517,1
"16079",1,576000,396489,179511,32,0.0886018684877947,1
"16089",1,1203600,878059,325541,45,0.010752759629777,1
"16113",1,464400,360732,103668,42,0.0521876571266266,1
"16132",1,1011600,690031,321569,50,0.0101407147581075,1
"16164",0,1023600,763035,260565,47,0.0128785378918311,1
"16169",1,766800,617673,149127,37,0.0452105930819016,1
"16179",0,1020000,668619,351381,22,0.084458501073835,1
"16181",1,1125600,839724,285876,41,0.0170999059686407,1
"16207",0,506400,375405,130995,31,0.10813075924648,1
"16211",0,1334400,937301,397099,47,0.00711404880782905,1
"16213",0,708000,519275,188725,41,0.0362360210170464,1
"16233",0,645600,474408,171192,22,0.160434413454944,1
"16237",0,1321200,1011887,309313,40,0.0130722981356441,1
"16241",0,664800,495062,169738,20,0.178115288003065,1
"16261",0,962400,711793,250607,39,0.0267929278379788,1
"16266",0,442800,318588,124212,52,0.0249858586032441,1
"16269",1,650400,485128,165272,25,0.130180230183755,1
"16280",0,399600,295057,104543,20,0.261465764810687,1
"16285",1,1324800,1002575,322225,41,0.0119496526515612,1
"16286",0,883200,737808,145392,32,0.0544035162031537,1
"16299",0,576000,440502,135498,22,0.179647555870109,1
"16307",1,1063200,815229,247971,26,0.0609253785853291,1
"16318",0,424800,316944,107856,23,0.210456348070186,1
"16381",1,1323600,992972,330628,34,0.0206293911784282,1
"16394",0,512400,414420,97980,47,0.0329790259355314,1
"16405",0,9e+05,702763,197237,44,0.0206547121670378,1
"16413",0,523200,365572,157628,31,0.104322296319483,1
"16414",0,586800,463294,123506,21,0.189477877179723,1
"16416",1,752400,592330,160070,28,0.089943507807941,1
"16447",1,1125600,798606,326994,44,0.0133045252655971,1
"16452",0,664800,519375,145425,20,0.179547290838994,1
"16464",0,392400,297445,94955,24,0.207562978913499,1
"16472",0,436800,322509,114291,25,0.181729983576335,1
"16505",0,493200,393276,99924,21,0.217558454262577,1
"16507",1,1234800,871003,363797,40,0.0148532403959738,1
"16520",1,1051200,809326,241874,28,0.053623049307371,1
"16525",0,376800,280989,95811,21,0.254575250538897,1
"16528",0,883200,688419,194781,39,0.031331393206406,1
"16541",0,1138800,822546,316254,20,0.0817781774799401,1
"16567",1,830400,700184,130216,49,0.0161853276209628,1
"16568",1,507600,347091,160509,37,0.0691010699441773,1
"16569",0,481200,348812,132388,22,0.205643080522269,1
"16594",1,1332000,1009845,322155,49,0.00628572786851635,1
"16606",0,730800,510522,220278,20,0.159081483722299,1
"16642",1,1328400,1001594,326806,40,0.0128214338656536,1
"16643",0,524400,379607,144793,23,0.18071651122491,1
"16655",0,1348800,942292,406508,37,0.0151705673180362,1
"16658",0,378000,300497,77503,27,0.175696683148365,1
"16673",0,1140000,924802,215198,30,0.0401391368684845,1
"16687",0,525600,332632,192968,21,0.201968268365235,1
"16703",1,1365600,943099,422501,32,0.0216313579562934,1
"16704",0,993600,801068,192532,29,0.055756258657288,1
"16706",0,379200,297776,81424,23,0.225887555196661,1
"16709",0,644400,485262,159138,21,0.172413418971372,1
"16711",0,453600,350869,102731,24,0.189997646520045,1
"16718",0,711600,530744,180856,23,0.135408895043697,1
"16720",1,896400,725790,170610,46,0.0179713604938,1
"16734",0,686400,540922,145478,20,0.174036687890457,1
"16747",1,614400,473062,141338,46,0.0294545792735236,1
"16748",0,610800,512189,98611,22,0.172942431022571,1
"16750",0,633600,506039,127561,22,0.165691631755434,1
"16783",1,1437600,1061106,376494,50,0.0047284051543037,1
"16788",0,570000,407690,162310,54,0.0169369326580508,1
"16789",0,1048800,848777,200023,24,0.0736521474819166,1
"16792",0,1306800,898130,408670,27,0.0353675205806149,1
"16793",0,1269600,974903,294697,50,0.00654642688097308,1
"16796",0,775200,555745,219455,44,0.0253527087314607,1
"16798",0,517200,389969,127231,23,0.183645457154747,1
